један,"a, an",а
напустити,abandon,покидать
способност,ability,способность
способан,able,способный
О томе,about,о
изнад,above,выше
иностранство,abroad,за границей
апсолутан,absolute,абсолютный
апсолутно,absolutely,абсолютно
академски,academic,академический
прихватити,accept,принимать
прихватљив,acceptable,приемлемый
приступ,access,доступ
незгода,accident,несчастный случай
смештај,accommodation,размещение
пратити,accompany,сопровождать
према,according to,в соответствии с
рачун,account,счет
тачан,accurate,точный
оптужити,accuse,обвинять
постићи,achieve,достигать
достигнуће,achievement,достижение
признати,acknowledge,сознавать
стећи,acquire,приобретать
широм,across,через
деловати,act,действовать
поступак,action,действие
активан,active,активный
активност,activity,активность
глумац,actor,актер
глумица,actress,актриса
актуелан,actual,действительный
заправо,actually,на самом деле
реклама,ad,объявление
прилагодити,adapt,адаптировать
додати,add,добавлять
додатак,addition,добавление
додатни,additional,дополнительный
адреса,address,адрес
администрација,administration,администрация
дивити се,admire,восхищаться
пустити,admit,признавать
усвојити,adopt,усыновить
одрасла особа,adult,взрослый
unapred,Advance,Продвигать
напредан,Advanced,Передовой
предност,Advantage,Преимущество
авантура,Adventure,Приключение
рекламирати,Advertise,Рекламировать
Реклама,Advertisement,Реклама
оглашавање,Advertising,Реклама
савет,Advice,Совет
афера,affair,роман
утицати,affect,оказывать воздействие
приуштити,afford,предоставлять
уплашен,afraid,испуганный
после,after,после
поподневни,afternoon,полдень
после,afterwards,после
опет,again,снова
против,against,против
старост,age,возраст
старости,aged,пожилой
агенција,agency,агентство
дневни ред,agenda,повестка дня
заступник,agent,агент
агресиван,aggressive,агрессивный
пре,ago,назад
договорити се,agree,соглашаться
договор,agreement,соглашение
Ах,ah,ах
напред,ahead,предстоящий
помоћ,aid,помогать
циљ,aim,цель
ваздух,air,воздух
авион,aircraft,самолет
ваздушна линија,airline,авиакомпания
аеродром,airport,аэропорт
алармни,alarm,тревога
албум,album,альбом
алкохол,alcohol,алкоголь
алкохоличар,alcoholic,алкоголик
жив,alive,живой
све,all,все
У реду,all right,все в порядке
допустити,allow,позволять
скоро,almost,почти
сам,alone,один
дуж,along,вдоль
већ,already,уже
такође,also,также
Алтер,alter,альтернативный
алтернатива,alternative,альтернатива
иако,although,хотя
увек,always,всегда
задивљен,amazed,поражен
Невероватно,amazing,удивительный
амбиција,ambition,амбиция
амбициозан,ambitious,амбициозный
међу,among,среди
износ,amount,количество
анализирати,analyse,анализировать
анализа,analysis,анализ
древни,ancient,древний
и,and,и
љутња,anger,злость
угао,angle,угол
љут,angry,злой
животиња,animal,животное
чланак,ankle,лодыжка
годишњица,anniversary,годовщина
најавити,announce,объявить
објава,announcement,объявление
аннои,annoy,раздражать
изнервиран,annoyed,раздраженный
досадан,annoying,раздражающий
годишњи,annual,ежегодный
други,another,другой
одговор,answer,отвечать
забринут,anxious,тревожный
било који,any,любой
ико,anybody,любой
више,any more,больше
било ко,anyone,любой
било шта,anything,что-либо
У сваком случају,anyway,в любом случае
било где,anywhere,в любом месте
одвојено,apart,отдельно
стан,apartment,квартира
извинити се,apologize,извиняться
апликација,app,приложение
очигледан,apparent,очевидный
очигледно,apparently,видимо
жалба,appeal,обращаться
појавити,appear,появляться
изглед,appearance,появление
јабука,apple,яблоко
апликација,application,приложение
применити,apply,применять
именовање,appointment,встреча
ценити,appreciate,ценить
приступ,approach,подход
прикладан,appropriate,соответствующий
одобрење,approval,одобрение
одобрити,approve,утвердить
од прилике,approximately,примерно
Април,April,апрель
архитекта,architect,архитектор
архитектура,architecture,архитектура
област,area,область
расправљати,argue,спорить
расправа,argument,аргумент
устати,arise,возникнуть
арм,arm,рука
наоружан,armed,вооруженный
оружје,arms,оружие
војска,army,армия
око,around,вокруг
уредити,arrange,договариваться
аранжман,arrangement,договоренность
ухапсити,arrest,арест
долазак,arrival,прибытие
стићи,arrive,приезжать
уметност,art,искусство
чланак,article,статья
вештачки,artificial,искусственный
уметник,artist,художник
уметнички,artistic,художественный
као што,as,как
посрамљен,ashamed,стыдящийся
заспао,asleep,спящий
питати,ask,просить
аспект,aspect,аспект
Проценити,assess,оценивать
процена,assessment,оценка
додељивање,assignment,назначение
помоћи,assist,помощь
асистент,assistant,помощник
стручни сарадник,associate,ассоциирован
удружен,associated,Асвязанный
удружење,association,ассоциация
претпоставити,assume,предполагать
у,at,в
Атлета,athlete,спортсмен
атмосфера,atmosphere,атмосфера
причврстити,attach,прикреплять
напад,attack,атака
покушај,attempt,пытаться
похађа,attend,посещать
Пажња,attention,внимание
став,attitude,отношение
привући,attract,привлекать
атракција,attraction,Привлечение
атрактиван,attractive,привлекательный
публика,audience,аудитория
август,August,Август
тетка,aunt,тетя
аутор,author,автор
Управа,authority,власть
јесен,autumn,осень
на располагању,available,доступный
просек,average,средний
избегавајте,avoid,избегать
награда,award,премия
свестан,aware,осведомленный
далеко,away,прочь
грозан,awful,ужасный
беба,baby,малыш
назад,back,назад
позадина,background,фон
уназад,backwards,назад
бактерије,bacteria,бактерии
лоше,bad,плохой
лоше,badly,плохо
кеса,bag,сумка
пећи,bake,выпекать
равнотежа,balance,баланс
лопта,ball,мяч
забрана,ban,запрет
банана,banana,банан
трака,band,группа
Банка (новац),bank (money),Банк (деньги)
банка (река),bank (river),Банк (река)
Бар,bar,бар
баријера,barrier,барьер
база,base,база
бејзбол,baseball,бейсбол
заснован,based,основанный на
Кошарка,basketball,баскетбол
основни,basic,базовый
у основи,basically,по сути
основа,basis,основа
купатило,bath,ванна
купатило,bathroom,ванная комната
батерија,battery,батарея
битка,battle,боевой
бити,be,быть
плажа,beach,пляж
пасуљ,bean,фасоль
медвед (баве),bear (deal with),Медведь (дело)
беар (анимал),bear (animal),медведь (животное)
победити,beat,бить
Лепа,beautiful,красивый
лепотица,beauty,красота
јер,because,потому что
постати,become,становиться
кревет,bed,кровать
спаваћа соба,bedroom,Спальня
пчела,bee,пчела
говедина,beef,говядина
пиво,beer,пиво
пре него што,before,до
молити,beg,очень прошу
почети,begin,начинать
početak,beginning,начало
понашати се,behave,вести себя
понашање,behaviour,поведение
иза,behind,позади
биће,being,существование
веровање,belief,вера
веровати,believe,полагать
звоно,bell,колокол
припадати,belong,принадлежать
испод,below,ниже
појас,belt,пояс
кривина,bend,сгибать
корист,benefit,выгода
савијен,bent,наклонный
најбоље,best,лучший
опклада,bet,делать ставку
боље,better,лучше
између,between,между
изван,beyond,вне
бицикл,bicycle,велосипед
велики,big,большой
бицикл,bike,велосипед
рачун,bill,счет
милијарде број,billion number,миллиард номера
bin,bin,бин
биологија,biology,биология
птица,bird,птица
рођење,birth,рождение
рођендан,birthday,день рождения
бисквит,biscuit,бисквит
мало,bit,кусочек
угристи,bite,кусать
горак,bitter,горький
црн,black,черный
кривица,blame,обвинять
празан,blank,пустой
слеп,blind,слепой
блокирати,block,блокировать
блог,blog,блог
плавуша,blonde,блондинка
крв,blood,кровь
ударац,blow,дуть
Плави,blue,синий
"одбор, табла",board,доска
брод,boat,лодка
тело,body,тело
чир,boil,кипятить
бомба,bomb,бомбить
обвезница,bond,связь
кост,bone,кость
књига,book,книга
чизма,boot,ботинок
граница,border,граница
досадно,bored,скучающий
досадан,boring,скучный
борн,born,рожденный
позајми,borrow,занимать
газда,boss,босс
обоје,both,оба
сметати,bother,беспокоить
боца,bottle,бутылка
дно,bottom,нижний
чинија,bowl,чаша
кутија,box,коробка
дечак,boy,мальчик
дечко,boyfriend,дружок
мозак,brain,мозг
грана,branch,ветвь
Марка,brand,бренд
храбар,brave,храбрый
хлеб,bread,хлеб
пауза,break,перерыв
доручак,breakfast,завтрак
груди,breast,грудь
дах,breath,дыхание
дисати,breathe,дышать
дисање,breathing,дыхание
Невеста,bride,невеста
мост,bridge,мост
кратак,brief,краткий
светао,bright,яркий
сјајан,brilliant,блестящий
довести,bring,приносить
широк,broad,широкий
емитовање,broadcast,транслировать
брокен,broken,сломанный
брат,brother,брат
браон,brown,коричневый
четка,brush,щетка
мехур,bubble,пузырь
буџет,budget,бюджет
Буилд,build,строить
зграда,building,здание
метак,bullet,пуля
група,bunch,связка
горети,burn,гореть
закопати,bury,хоронить
аутобус,bus,автобус
грм,bush,куст
посао,business,бизнес
бизнисмен,businessman,бизнесмен
Заузет,busy,занятый
али,but,но
путер,butter,масло
дугме,button,кнопка
купити,buy,купить
од стране,by,к
здраво,bye,пока
кабл,cable,кабель
кафе,cafe,кафе
торта,cake,торт
Ð¿Н,calculate,рассчитать
позив,call,вызов
миран,calm,спокойствие
Камера,camera,камера
камп,camp,лагерь
кампања,campaign,кампания
камповање,camping,Отдых на природе
студентски град,campus,кампус
цан1,can1,Can1
ЦАН2,can2,Can2
"поништити, отказати",cancel,отмена
рак,cancer,рак
кандидат,candidate,кандидат
не може,cannot,не могу
капа,cap,кепка
способан,capable,способный
капацитет,capacity,емкость
главни град,capital,капитал
капетан,captain,капитан
хватање,capture,захватывать
ауто,car,машина
картица,card,карта
нега,care,Забота
каријера,career,карьера
пажљив,careful,осторожный
пажљиво,carefully,осторожно
немаран,careless,беспечный
тепих,carpet,ковер
шаргарепа,carrot,морковь
ношење,carry,нести
цртани филм,cartoon,мультфильм
случај,case,случай
готовина,cash,наличные
Цаст,cast,бросать
замак,castle,замок
мачка,cat,кот
улов,catch,ловить
категорија,category,категория
узрок,cause,причина
ЦД,CD,CD
плафон,ceiling,потолок
прославити,celebrate,праздновать
славље,celebration,праздник
позната личност,celebrity,знаменитость
ћелија,cell,клетка
цент,cent,цент
централни,central,центральный
центар,centre,центр
век,century,век
церемонија,ceremony,церемония
известан,certain,определенный
сигурно,certainly,конечно
ланац,chain,цепь
столица,chair,стул
председник,chairman,председатель
изазов,challenge,испытание
шампион,champion,чемпион
шанса,chance,шанс
промена,change,изменять
канал,channel,канал
поглавље,chapter,глава
карактер,character,характер
карактеристика,characteristic,характеристика
напунити,charge,заряжать
милосрђе,charity,благотворительность
графикон,chart,диаграмма
Ћаскање,chat,чат
јефтин,cheap,дешевый
варати,cheat,изменять
проверавати,check,проверять
Главни кувар,chef,шеф -повар
весео,cheerful,жизнерадостный
сир,cheese,сыр
хемијски,chemical,химический
хемија,chemistry,химия
груди,chest,грудь
пилетина,chicken,курица
Шеф,chief,главный
дете,child,ребенок
детињство,childhood,детство
чип,chip,чип
чоколада,chocolate,шоколад
избор,choice,выбор
изабрати,choose,выбирать
црква,church,церковь
цигарета,cigarette,сигарета
биоскоп,cinema,кино
круг,circle,круг
околност,circumstance,обстоятельство
навести,cite,цитировать
грађанин,citizen,гражданин
град,city,город
грађански,civil,гражданский
потраживање,claim,требовать
класа,class,сорт
класик,classic,Классик
класичан,classical,классический
учионица,classroom,класс
клаузула,clause,пункт
чист,clean,чистый
јасно,clear,прозрачный
јасно,clearly,четко
паметан,clever,умный
клик,click,нажимать
клијент,client,клиент
клима,climate,климат
попети се,climb,взбираться
сат,clock,Часы
цлосе1,close1,закрыть1
цлосе2,close2,закрыть2
затворен,closed,закрыто
уско,closely,близко
тканина,cloth,ткани
Одећа,clothes,одежда
одећа,clothing,одежда
облак,cloud,облако
клуб,club,клуб
индиција,clue,зацепка
тренер,coach,тренер
угаљ,coal,уголь
обала,coast,побережье
капут,coat,пальто
код,code,код
кафа,coffee,кофе
новчић,coin,монета
хладан,cold,холодный
колапс,collapse,крах
колега,colleague,коллега
Цоллецт,collect,собирать
колекција,collection,коллекция
колеџ,college,колледж
боја,colour,цвет
обојен,coloured,цветной
колона,column,столбец
комбинација,combination,комбинация
комбиновати,combine,комбинировать
доћи,come,приходить
комедија,comedy,комедия
удобност,comfort,комфорт
удобан,comfortable,комфортный
команда,command,командование
коментар,comment,комментарий
трговачки,commercial,коммерческий
комисија,commission,комиссия
урадити,commit,совершить
приврженост,commitment,обязательство
одбор,committee,комитет
заједнички,common,общий
обично,commonly,обычно
комуницирати,communicate,общаться
комуникација,communication,коммуникация
заједница,community,сообщество
компанија,company,компания
упоредити,compare,сравнивать
поређење,comparison,сравнение
такмичити се,compete,конкурировать
конкуренција,competition,соревнование
конкурент,competitor,конкурент
конкурентан,competitive,конкурентоспособный
жале,complain,жаловаться
жалба,complaint,жалоба
комплетан,complete,полный
у потпуности,completely,полностью
комплекс,complex,сложный
компликован,complicated,сложный
саставни део,component,компонент
рачунар,computer,компьютер
концентрат,concentrate,концентрироваться
концентрација,concentration,концентрация
концепт,concept,концепция
брига,concern,беспокойство
у питању,concerned,обеспокоенный
концерт,concert,концерт
закључити,conclude,заключить
закључак,conclusion,заключение
стање,condition,состояние
спровести,conduct,руководить
конференција,conference,конференция
самопоуздање,confidence,уверенность
самоуверен,confident,уверенный
Потврди,confirm,подтверждать
конфликт,conflict,конфликт
Цонфусе,confuse,запутать
цонфусед,confused,смущенный
збуњујући,confusing,сбивает с толку
Цоннецт,connect,соединять
повезан,connected,связанный
веза,connection,связь
свестан,conscious,сознательный
последица,consequence,последствие
конзервативан,conservative,консервативный
размотрити,consider,учитывать
разматрање,consideration,рассмотрение
састојати се,consist,состоять
доследан,consistent,последовательный
константа,constant,постоянный
стално,constantly,постоянно
цонструцт,construct,конструкция
конструкција,construction,строительство
потрошити,consume,потреблять
потрошач,consumer,потребитель
контакт,contact,контакт
садржати,contain,содержать
контејнер,container,контейнер
савремен,contemporary,современный
садржина,content,содержание
такмичење,contest,конкурс
контекст,context,контекст
континент,continent,континент
Настави,continue,продолжать
непрекидан,continuous,непрерывный
уговор,contract,договор
контраст,contrast,контраст
допринети,contribute,способствовать
допринос,contribution,вклад
контрола,control,контроль
погодан,convenient,удобный
разговор,conversation,беседа
претворити,convert,конвертировать
убедити,convince,убеждать
убедила,convinced,убежденный
кувар,cook,готовить
шпорет,cooker,плита
кување,cooking,Готовка
хладан,cool,прохладный
копија,copy,копия
језгро,core,основной
угао,corner,угол
корпоративни,corporate,корпоративный
исправан,correct,правильный
исправно,correctly,правильно
трошак,cost,расходы
костим,costume,костюм
Колиба,cottage,коттедж
памук,cotton,хлопок
могао,could,мог
савет,council,Совет
рачунати,count,считать
земља,country,страна
село,countryside,сельская местность
округ,county,округ
пар,couple,пара
храброст,courage,храбрость
курс,course,курс
суд,court,суд
рођак,cousin,двоюродный брат
поклопац,cover,крышка
"покривен, затрпан",covered,покрытый
крава,cow,корова
судар,crash,крушение
луд,crazy,сумасшедший
крем,cream,крем
Креирај,create,создавать
стварање,creation,создание
креативан,creative,творческий
створење,creature,существо
кредит,credit,кредит
посада,crew,экипаж
злочин,crime,преступление
криминалац,criminal,преступник
криза,crisis,кризис
критеријум,criterion,критерий
критичар,critic,критик
критичан,critical,критический
критика,criticism,критика
критиковати,criticize,критиковать
усев,crop,обрезать
крст,cross,крест
гомила,crowd,толпа
гужва,crowded,переполненный
пресудан,crucial,ключевой
окрутан,cruel,жестокий
плач,cry,плакать
културни,cultural,культурный
култура,culture,культура
шоља,cup,чашка
креденац,cupboard,буфет
лек,cure,излечивать
коврџава,curly,кудрявый
валута,currency,валюта
Тренутни,current,текущий
тренутно,currently,в настоящее время
завеса,curtain,занавес
крива,curve,изгиб
закривљен,curved,изогнутый
обичај,custom,обычай
купац,customer,клиент
рез,cut,резать
циклус,cycle,цикл
тата,dad,папа
дневно,daily,ежедневно
штета,damage,повреждать
данце,dance,танец
плесач,dancer,танцовщица
играње,dancing,танцы
опасност,danger,Опасность
опасан,dangerous,опасный
мрак,dark,темный
подаци,data,данные
датум,date,дата
ћерка,daughter,дочь
дан,day,день
мртав,dead,мертвый
договор,deal,иметь дело
драг,dear,дорогой
смрт,death,смерть
дебата,debate,дебаты
дуг,debt,долг
декада,decade,десятилетие
децембар,December,Декабрь
пристојан,decent,приличный
одлучити,decide,решать
одлука,decision,решение
Децларе,declare,объявить
одбити,decline,отклонить
украсити,decorate,украсить
декорација,decoration,украшение
smanjenje,decrease,снижаться
дубоко,deep,глубокий
дубоко,deeply,глубоко
пораз,defeat,поражение
одбрана,defence,защита
бранити,defend,защищать
дефинисати,define,определять
одређен,definite,определенный
дефинитивно,definitely,определенно
дефиниција,definition,определение
степен,degree,степень
кашњење,delay,задерживать
намјерно,deliberate,преднамеренный
намерно,deliberately,умышленно
укусан,delicious,вкусный
уживање,delight,восторг
одушевљен,delighted,получивший удовольствие
доставити,deliver,доставлять
испорука,delivery,доставка
потражња,demand,требовать
демонстрирати,demonstrate,продемонстрировать
стоматолог,dentist,Дантист
негирати,deny,отрицать
одељење,department,отделение
одлазак,departure,отправление
зависити,depend,зависеть
депресиван,depressed,подавлен
депресивно,depressing,удручающий
дубина,depth,глубина
описати,describe,описывать
Опис,description,описание
пустиња,desert,пустыня
заслужити,deserve,заслуживать
дизајн,design,дизайн
дизајнер,designer,дизайнер
жеља,desire,желание
радни сто,desk,рабочий стол
очајан,desperate,отчаянный
упркос,despite,несмотря на
дестинација,destination,место назначения
уништити,destroy,разрушать
детаљ,detail,деталь
детаилед,detailed,подробный
открити,detect,обнаруживать
детектив,detective,детектив
одредити,determine,определять
одлучан,determined,определенный
развити,develop,развивать
развој,development,разработка
уређај,device,устройство
дијаграм,diagram,диаграмма
дијалог,dialogue,диалог
дијамант,diamond,бриллиант
дневник,diary,дневник
речник,dictionary,словарь
умрети,die,умереть
исхрана,diet,диета
разлика,difference,разница
различит,different,другой
различито,differently,иначе
тежак,difficult,трудный
проблем,difficulty,сложность
копати,dig,копать
дигитални,digital,цифровой
вечера,dinner,ужин
директан,direct,прямой
правац,direction,направление
директно,directly,напрямую
директор,director,директор
прљавштина,dirt,грязь
прљав,dirty,грязный
дис Адвербантаге,Dis Adverbantage,DIS наречие
не слазем се,disagree,не согласен
нестати,disappear,пропадать
разочаран,disappointed,расстроенный
разочара,disappointing,разочаровывает
катастрофа,disaster,катастрофа
диск,disc,диск
дисциплина,discipline,дисциплина
попуст,discount,скидка
Откријте,discover,обнаружить
откриће,discovery,Открытие
дискутовати,discuss,обсуждать
дискусија,discussion,дискуссия
болест,disease,болезнь
јело,dish,блюдо
непоштен,dishonest,Нечестный
не волети,dislike,неприязнь
одбацити,dismiss,увольнять
приказ,display,отображать
раздаљина,distance,расстояние
делити,distribute,распределять
дистрибуција,distribution,распределение
округ,district,округ
подела,divide,разделять
подела,division,разделение
разведен,divorced,в разводе
урадити,do,делать
доктор,doctor,врач
документ,document,документ
документарни филм,documentary,документальный
пас,dog,собака
долар,dollar,доллар
домаћи,domestic,одомашненный
доминирати,dominate,доминировать
поклонити,donate,пожертвовать
врата,door,дверь
двоструко,double,двойной
сумња,doubt,сомневаться
доле,down,вниз
преузимање,download,скачать
доле,downstairs,вниз по лестнице
низбрдо,downwards,вниз
туце,dozen,дюжина
нацрт,draft,черновик
терет,drag,тащить
драма,drama,драма
драматичан,dramatic,драматический
нацртати,draw,рисовать
цртеж,drawing,рисунок
сан,dream,мечтать
хаљина,dress,одеваться
дрессед,dressed,одетый
пиће,drink,напиток
погон,drive,водить машину
возач,driver,Водитель
дривинг,driving,вождение
кап,drop,уронить
лек,drug,лекарство
бубањ,drum,барабан
пијан,drunk,пьяный
СУВ,dry,сухой
због,due,должный
у току,during,в течение
прашина,dust,пыль
дужност,duty,долг
ДВД,DVD,DVD
сваки,each,каждый
уво,ear,ухо
рано,early,рано
зарадити,earn,зарабатывать
земља,earth,земля
земљотрес,earthquake,землетрясение
лако,easily,легко
исток,east,восток
источни,eastern,восточный
лако,easy,легкий
јести,eat,есть
економски,economic,экономический
привреда,economy,экономика
Ивица,edge,край
Уредити,edit,редактировать
издање,edition,версия
уредник,editor,редактор
образовати,educate,обучать
образован,educated,образованный
образовање,education,образование
образовни,educational,образовательный
дејство,effect,эффект
ефикасан,effective,эффективная
ефектно,effectively,эффективно
ефикасан,efficient,эффективный
напор,effort,усилие
јаје,egg,яйцо
осам,eight,восемь
осамнаест,eighteen,восемнадцать
осамдесет,eighty,восемьдесят
или,either,или
старије особе,elderly,пожилые люди
изабрани,elect,избранный
избор,election,выборы
електрични,electric,электрический
елецтрицал,electrical,электрический
електрична енергија,electricity,электричество
електронски,electronic,электронный
елемент,element,элемент
слон,elephant,слон
Једанаест,eleven,одиннадцать
друго,else,еще
другде,elsewhere,в другом месте
e-маил,email,электронная почта
збуњен,embarrassed,смущенный
посрамљујући,embarrassing,смущающий
појављују,emerge,появляться
хитан,emergency,чрезвычайная ситуация
емоција,emotion,эмоция
емотиван,emotional,эмоциональный
истицање,emphasis,акцент
нагласити,emphasize,подчеркивать
запошљавају,employ,применять
запослени,employee,сотрудник
послодавац,employer,работодатель
радни однос,employment,работа
испразните,empty,пустой
омогућити,enable,давать возможность
сусрет,encounter,сталкиваться
охрабрити,encourage,поощрять
крај,end,конец
завршни,ending,конец
непријатељ,enemy,враг
енергија,energy,энергия
ангажовати,engage,привлекать
ангажован,engaged,помолвлен
мотор,engine,двигатель
инжењер,engineer,инженер
инжењеринг,engineering,инженерный
Побољшати,enhance,усиливать
уживати,enjoy,наслаждаться
огроман,enormous,громадный
довољно,enough,достаточно
упит,enquiry,расследование
обезбедити,ensure,гарантировать
унети,enter,входить
забавити,entertain,развлекать
Забава,entertainment,развлечение
ентузијазам,enthusiasm,энтузиазм
одушевљен,enthusiastic,энтузиазм
цео,entire,весь
потпуно,entirely,полностью
улаз,entrance,вход
улазак,entry,вход
Животна средина,environment,среда
еколошки,environmental,относящийся к окружающей среде
епизода,episode,эпизод
једнак,equal,равный
једнако,equally,в равной степени
опрема,equipment,оборудование
грешка,error,ошибка
есцапе,escape,побег
посебно,especially,особенно
есеј,essay,сочинение
суштински,essential,существенный
успоставити,establish,учреждать
имање,estate,имущество
процена,estimate,оценивать
етички,ethical,этичный
евро,euro,евро
"проценити, оценити",evaluate,оценивать
Чак,even,даже
вече,evening,вечер
догађај,event,событие
коначно,eventually,в конце концов
икад,ever,всегда
сваки,every,каждый
сви,everybody,все
сваки дан,everyday,каждый день
свако,everyone,каждый
све,everything,все
свуда,everywhere,повсюду
доказ,evidence,доказательство
зло,evil,зло
тачан,exact,точный
баш тако,exactly,точно
испит,exam,экзамен
преглед,examination,экзамен
испитати,examine,исследовать
пример,example,пример
одличан,excellent,отличный
осим,except,кроме
размена,exchange,обмен
узбуђен,excited,взволнованный
узбуђење,excitement,возбуждение
узбудљив,exciting,захватывающий
изговор,excuse,извинение
извршни,executive,исполнительный
вежба,exercise,упражнение
Изложба,exhibition,выставка
Шмита,exist,существовать
постојање,existence,существование
проширити,expand,расширять
очекивати,expect,ожидать
очекивање,expectation,ожидание
очекиван,expected,ожидал
експедиција,expedition,экспедиция
трошак,expense,расход
скупо,expensive,дорогой
искуство,experience,опыт
искусан,experienced,опытный
експеримент,experiment,эксперимент
експерт,expert,эксперт
објаснити,explain,объяснять
објашњење,explanation,объяснение
експлодирати,explode,взорваться
истраживање,exploration,исследование
